cons1,cons2,cons3,cons4,cons5,cons6,cons7,cons8,cons9,cons10,cons11,cons12,label
0.339,2.431,0.969,0.328,0.772,0.438,0.228,0.015,0.025,0.038,0.009,0.007,1
1.064,2.448,1.25,0.576,0.442,0.676,0.558,0.052,0.085,0.115,0.048,0.039,1
0.397,2.47,1.18,0.337,0.717,0.442,0.283,0.018,0.033,0.045,0.014,0.013,1
0.052,2.894,0.886,0.197,0.873,0.323,0.128,0.006,0.009,0.017,0.004,0.003,1
0.996,1.848,0.892,0.739,0.438,0.791,0.562,0.055,0.095,0.13,0.052,0.047,1
0.944,2.493,1.342,0.611,0.474,0.692,0.526,0.047,0.078,0.109,0.044,0.028,1
1.081,2.672,1.042,0.653,0.448,0.749,0.554,0.077,0.106,0.139,0.065,0.053,1
0.54,2.828,1.016,0.396,0.693,0.532,0.308,0.02,0.034,0.053,0.011,0.009,1
-0.178,2.485,0.892,0.145,0.937,0.318,0.063,0.005,0.009,0.016,0.003,0.002,1
-0.154,2.466,1.05,0.17,0.884,0.264,0.116,0.007,0.011,0.015,0.004,0.003,1
0.555,2.687,1.819,0.568,0.496,0.616,0.504,0.012,0.044,0.052,0.012,0.012,1
0.742,2.764,1.452,0.537,0.541,0.605,0.459,0.063,0.078,0.107,0.039,0.034,1
-0.148,2.873,1.055,0.162,0.892,0.27,0.109,0.006,0.01,0.016,0.005,0.004,1
0.191,2.502,1.239,0.287,0.76,0.379,0.24,0.017,0.028,0.039,0.015,0.013,1
0.036,2.373,0.605,0.105,0.962,0.263,0.038,0.005,0.01,0.018,0.003,0.002,1
0.272,2.941,1.205,0.276,0.784,0.379,0.216,0.017,0.026,0.036,0.015,0.012,1
0.117,2.741,0.721,0.255,0.891,0.418,0.109,0.009,0.016,0.029,0.005,0.003,1
1.089,2.825,1.306,0.589,0.473,0.651,0.527,0.051,0.058,0.098,0.04,0.029,1
0.608,2.773,1.081,0.416,0.688,0.518,0.313,0.021,0.035,0.056,0.018,0.016,1
-0.042,1.804,0.782,0.186,0.878,0.291,0.122,0.005,0.011,0.018,0.004,0.003,1
-0.049,2.76,1.097,0.214,0.853,0.316,0.147,0.007,0.011,0.018,0.005,0.003,1
0.177,2.659,0.833,0.243,0.852,0.415,0.148,0.012,0.018,0.031,0.007,0.005,1
0.017,2.759,1.131,0.247,0.845,0.356,0.155,0.005,0.018,0.018,0,0,1
0.16,2.884,1.034,0.238,0.833,0.335,0.167,0.011,0.017,0.026,0.009,0.008,1
