alu1,alu2,alu3,alu4,alu5,class
0.000473,0.000237,294,0.023186,0.014746,1
0,0,141,0.278656,0,1
0,0,201,0.032068,0.023927,1
0.000293,0.000878,156,0.045641,0.041825,1
0,0.000164,105,0.017191,0.021116,1
0,0.000237,273,0.064815,0,1
0,0.0009,222,0.022209,0.03361,1
0.000451,0,348,0.156969,0.040577,1
0.00106,0.00053,231,0.040791,0,1
0.000233,0.000233,45,0.005253,0.01996,1
0,0.007902,24,0.021071,0,1
0,0,336,0.994083,0,1
0,0.000721,264,0.190339,0,1
0.000286,0.000429,126,0.018028,0,1
0,0,15,0.032397,0,1
0.000116,0.000349,159,0.018503,0.017105,1
0.000069,0.000309,150,0.005157,0.019803,1
0.002208,0.000276,468,0.129139,0,1
0,0,78,0.330508,0,1
0,0,477,0.366359,0,1
0,0,177,0.423445,0,1
0.000101,0.00068,117,0.002948,0,1
0.000695,0,105,0.072967,0.000694,1
0.00092,0.000425,222,0.015713,0,1
0,0,27,0.132353,0.058537,1
0,0.000923,483,0.111444,0,1
0.000523,0.000261,243,0.063513,0,1
0,0,213,0.196858,0,1
0,0,162,0.08495,0,1
0.000052,0.000286,48,0.00125,0.018203,1
0,0,159,0.120181,0.021903,1
0,0,1200,0.945626,0,1
0,0,51,0.137466,0.005376,1
0.000591,0.001329,1290,0.19049,0.000295,1
0.000245,0.000245,327,0.026657,0,1
0.000209,0.000576,258,0.013504,0.028419,1
0.000078,0.000078,126,0.009843,0.000078,1
0.000394,0.000394,24,0.009453,0.02126,1
0,0.000142,123,0.017489,0.000284,1
0,0.001372,204,0.279835,0.035616,1
0,0,1629,0.663004,0,1
0.001099,0.001099,300,0.082418,0.021148,1
0,0,375,0.748503,0.021912,1
0,0.000164,66,0.0054,0.026505,1
0.000121,0.000061,183,0.011106,0,1
0,0,162,0.672199,0,1
0.000833,0,75,0.062448,0.026622,1
0.000483,0,225,0.108643,0.019788,1
0.000269,0.000449,297,0.026661,0.036083,1
0,0,186,0.316327,0.018676,1
0.000029,0.000057,246,0.007068,0.020629,1
0,0,501,0.82947,0.066116,1
0,0,186,0.355641,0.072519,1
0.000593,0,207,0.122776,0.032602,1
0,0,54,0.030371,0.023609,1
0,0,255,0.923913,0,1
0,0,1209,0.939394,0.02795,1
0,0,204,0.11545,0.024321,1
0,0,66,0.170984,0,1
0.000071,0.000496,51,0.001205,0,1
0,0.001142,360,0.410959,0.035348,1
0,0,147,0.592742,0,1
0.000891,0,81,0.072193,0,1
0.000459,0.000611,36,0.005503,0.000153,1
0,0,417,0.404854,0.031038,1
0,0,225,0.143312,0.01655,1
0,0,564,0.73342,0.061039,1
0.000527,0.000263,414,0.109033,0.038178,1
0.000133,0.000533,153,0.0068,0,1
0.000397,0.000821,345,0.009141,0.000159,1
0,0,21,0.053299,0,1
0,0,147,0.372152,0,1
0,0,252,0.045121,0.020229,1
0,0,147,0.161008,0.039387,1
0,0,150,0.259067,0,1
0.000377,0.001132,186,0.014035,0,1
0,0.000341,1803,0.204793,0.025667,1
0.000274,0.00041,951,0.065043,0.022911,1
0,0,618,0.974763,0,1
0.000544,0.000762,156,0.016984,0.021228,1
0.000071,0.000357,186,0.013266,0.020539,1
0,0,438,0.44877,0.019447,1
0.00008,0.00016,423,0.033737,0.021054,1
0.000177,0,51,0.009031,0.021069,1
0,0.000213,117,0.024915,0,1
0,0,345,0.351682,0.022403,1
0.00014,0.00014,1164,0.162479,0,1
0.000212,0.000212,273,0.057864,0.037296,1
0.000894,0,219,0.195886,0.023235,1
